Identifier,db,doi,Type,Author,Title,Year,Abstract,Keywords,BibliographyType,ISBN,Journal,Volume,Number,Month,Pages,Address,URL,Booktitle,Edition,Series,Editor,Publisher,Abstract,Keywords
"6393004",IEEE,"10.1109/MSSC.2012.2214295",Article,"","CEDA Currents [IEEE News]",2012,"","",7,"","IEEE Solid-State Circuits Magazine","4",4,"Dec","62-63","","","","","","",""
"Colnarič2008",SpringerLink,"10.1007/978-1-84800-052-0_4",InBook,"","Programming of Embedded Systems",2008,"Similar to the development in other domains of embedded systems, in practice control applications are often programmed by improper means. For a number of pragmatic reasons, the same methods, techniques, and programming languages as for general-purpose desktop applications are employed. One of the reasons for this is common knowledge of programming: the languages and methods learned can do the job to a certain extent, so most practitioners use them with little concern about the rather specific circumstances of embedded systems","",5,"978-1-84800-052-0","","",,"","107--163","London","https://doi.org/10.1007/978-1-84800-052-0_4","Distributed Embedded Control Systems: Improving Dependability with Coherent Design","","","","Springer London"
"Zhang2017",ScienceDirect,"10.1016/j.jocs.2017.09.006",Article,"Zhang, Yangyang; Li, Jianxin; Sun, Chenggen; Bhuiyan, Md Zakirul Alam; Yu, Weiren & Zhang, Richong","HotML: A DSM-based Machine Learning System for Social Networks",2017,"Abstract In big data era, social networks, such as Twitter, Weibo, Facebook, are becoming more and more popular worldwide. To help social networks analysis, many machine learning (ML) algorithms have been adopted, e.g. user classification, link prediction, sentiment analysis, recommendations, etc. However, the dataset could be so large that it might take even days to train a model on a machine learning system. Performance issues should be considered to boost the training process. In this paper, we proposed HotML, a general machine learning system. HotML is designed in the parameter server (PS) architecture where the servers manage the globally shared parameters organized in tabular structure, and the workers compute the dataset in parallel and update the global parameters. HotML is based on our prior work DPS\ that provides high-level data abstraction, lightweight task scheduling system, and SSP\ consistency. HotML improved the DPS\ design by decoupling PS\ server and PS\ worker physically, and provides flexible consistency models including SSPPush, SSPDrop\ besides SSP, fault tolerance including consistent server-side checkpoint and flexible worker-side checkpoint, and workload balancing. To demonstrate the performance and scalability of the proposed system, a series of experiments are conducted and the results show that HotML can reduce networking time by about 74%, and achieve up to 1.9x performance compared to the popular ML\ system, Petuum. ","Big data, Parameter server, Distributed machine learning, Fault tolerance ",7,"","Journal of Computational Science","",,"","-","","http://www.sciencedirect.com/science/article/pii/S1877750317303459","","","","",""
"4417219",IEEE,"10.1109/EPE.2007.4417219",InProceedings,"Zdenek, Jiri","Efficient scheduler-dispatcher software architecture of the spacepower facility distributed control computer",2007,"The system software architecture of the distributed control computer (computer network) of the mechatronic scientific facility (crystallizer) for automatic high temperature material processing in a orbital space station in micro-gravitation environment is presented in this paper. The scientific facility consists of the multi-zone high temperature furnace with heating system, PWM controlled heating converters, the precise extra low speed vibration-less electric drives to make possible to manipulate the processed material samples during experiments, very precise temperature measurement module, telemetric channel, crew interface computer, free programmable central controller and several further units. Facility computer network nodes have many user tasks (processes) divided into many threads running in real time environment. Using preemptive real time operating system tends to have unacceptable high overhead therefore the system of table driven coroutines with low system resource requirement (overhead, stack space) was designed. Emphasis is given on the design of efficient, reliable and self documented scheduler-dispatcher of the user tasks with minimized overhead and easily extensible descriptors of table driven user finite state automata. Presented scheduler architecture is used in the distributed network control computer of newly designed facility (Advanced TITUS) intended to be placed in the ISS space station. It is advanced version of the proved software utilized in the distributed control computer of the TITUS scientific equipment which was successfully operated several years in the MIR orbital station especially during ESA missions EUROMIR.","aerospace computing;aerospace control;aerospace instrumentation;computer networks;crystallisers;distributed control;electric furnaces;finite state machines;mechatronics;PWM controlled heating converters;TITUS scientific equipment;automatic high temperature material processing;crew interface computer;crystallizer;distributed control computer;distributed network control computer;facility computer network nodes;finite state automata;free programmable central controller;heating system;high temperature furnace;mechatronic scientific facility;microgravitation environment;orbital space station;real time operating system;scheduler-dispatcher software architecture;space power facility;telemetric channel;temperature measurement module;vibrationless electric drives;Automatic control;Centralized control;Computer architecture;Computer networks;Distributed computing;Distributed control;Processor scheduling;Resistance heating;Software architecture;Space stations;Measurement;Mechatronics;Real time processing;Software;Space",6,"","","",,"Sept","1-10","","","2007 European Conference on Power Electronics and Applications","","","",""
"Zdenek2007",Scopus,"10.1109/EPE.2007.4417219",Conference,"Zdenek, J.","Efficient scheduler-dispatcher software architecture of the spacepower facility distributed control computer",2007,"The system software architecture of the distributed control computer (computer network) of the mechatronic scientific facility (crystallizer) for automatic high temperature material processing in a orbital space station in micro-gravitation environment is presented in this paper. The scientific facility consists of the multi-zone high temperature furnace with heating system, PWM controlled heating converters, the precise extra low speed vibration-less electric drives to make possible to manipulate the processed material samples during experiments, very precise temperature measurement module, telemetric channel, crew interface computer, free programmable central controller and several further units. Facility computer network nodes have many user tasks (processes) divided into many threads running in real time environment. Using preemptive real time operating system tends to have unacceptable high overhead therefore the system of table driven coroutines with low system resource requirement (overhead, stack space) was designed. Emphasis is given on the design of efficient, reliable and self documented scheduler-dispatcher of the user tasks with minimized overhead and easily extensible descriptors of table driven user finite state automata. Presented scheduler architecture is used in the distributed network control computer of newly designed facility (Advanced TITUS) intended to be placed in the ISS space station. It is advanced version of the proved software utilized in the distributed control computer of the TITUS scientific equipment which was successfully operated several years in the MIR orbital station especially during ESA missions EUROMIR.","",10,"","2007 European Conference on Power Electronics and Applications EPE","",,"","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-51049091406&doi=10.1109%2fEPE.2007.4417219&partnerID=40&md5=50231f281f2419efddf4a253dc552647","","","","",""
"7336328",IEEE,"10.1109/HPCC-CSS-ICESS.2015.292",InProceedings,"Yunge, D.; Kindt, P.; Balszun, M. & Chakraborty, S.","Hybrid Apps: Apps for the Internet of Things",2015,"Smartphones have become popular mainly because of the large variety of applications they can run. In contrast, most devices in the phoneś environment - e.g., household appliances or environmental sensors - are much less flexible because their functionality is hardcoded at the design time. In order to realize the vision of the Internet of Things (IoT), where all devices communicate with each other to realize joint tasks, it is necessary that these devices are able to extend and adapt their functionalities on-the-fly based on their surrounding. To realize smart functionalities for IoT devices, we propose hybrid Apps, the concept of Smartphone Apps applied to small embedded systems. In contrast with current packaged smart home solutions, where all appliances have to be changed to their smart counterparts at the same time, hybrid Apps permit an incremental and hence feasible deployment of the IoT vision. In this paper we discuss the challenges and opportunities associated with this approach. We argue code interpretation as a candidate reprogramming method for IoT devices and analyzed its feasibility with real-world measurements of key parameters such as computational and energy overhead. While in general, code interpretation incurs a large energy-overhead, we show that for typical IoT applications executed every few seconds, it is as low as 1%.","Internet of Things;embedded systems;home computing;smart phones;Internet of Things;IoT applications;IoT devices;candidate reprogramming method;code interpretation;embedded systems;energy-overhead;hybrid apps;packaged smart home solutions;smartphone apps;Hardware;Java;Middleware;Protocols;Random access memory;Temperature sensors;Apps;Code Interpreter;Reprogrammability;Virtual Machines;Wireless Sensor Networks",6,"","","",,"Aug","1175-1180","","","2015 IEEE 17th International Conference on High Performance Computing and Communications, 2015 IEEE 7th International Symposium on Cyberspace Safety and Security, and 2015 IEEE 12th International Conference on Embedded Software and Systems","","","",""
"4678868",IEEE,"10.1109/WiCom.2008.960",InProceedings,"Yu, M.; Xiahou, S. & Li, X.","A Survey of Studying on Task Scheduling Mechanism for TinyOS",2008,"Although TinyOS has been regarded as the defacto standard for WSN (Wireless Sensor Network) applications, its simple task scheduling mechanism became a great obstacle to WSN applications. This paper, from two directions (one based on cooperative, the other based on preemptive), presented a variety of scheduling algorithms and their application in TinyOS. And their characters and advantage were discussed as well in terms of energy consuming, tasks executing efficiency. Then a new, integrated and adaptive task scheduling mechanism was pointed out for the future TinyOS task scheduling. This new scheduling mechanism was characterized with features of dynamical adaptability and context-awareness.","scheduling;wireless sensor networks;TinyOS;task scheduling mechanism;wireless sensor network;Adaptive scheduling;Computer languages;Context;Dynamic scheduling;Mobile communication;Mobile computing;Processor scheduling;Scheduling algorithm;Sensor systems and applications;Wireless sensor networks",6,"","","",,"Oct","1-4","","","2008 4th International Conference on Wireless Communications, Networking and Mobile Computing","","","",""
"7473021",IEEE,"10.1109/SOSE.2016.56",InProceedings,"Yaseen, M. U.; Zafar, M. S.; Anjum, A. & Hill, R.","High Performance Video Processing in Cloud Data Centres",2016,"Mobile phones and affordable cameras are generating large amounts of video data. This data holds information regarding several activities and incidents. Video analytics systems have been introduced to extract valuable information from this data. However, most of these systems are expensive, require human supervision and are time consuming. The probability of extracting inaccurate information is also high due to human involvement. We have addressed these challenges by proposing a cloud based high performance video analytics platform. This platform attempts to minimize human intervention, reduce computation time and enables the processing of a large number of video streams. It achieves high performance by optimizing the occupancy of GPU resources in cloud and minimizing the data transfer by concurrently processing a large number of video streams. The proposed video processing platform is evaluated in three stages. The first evaluation was performed at the cloud level in order to evaluate the scalability of the platform. This evaluation includes fetching and distributing video streams and efficiently utilizing available resources within the cloud. The second valuation was performed at the individual cloud nodes. This evaluation includes measuring the occupancy level, effect of data transfer and the extent of concurrency achieved at each node. The third evaluation was performed at the frame level in order to determine the performance of object recognition algorithms. To measure this, compute intensive tasks of the Local Binary Pattern (LBP) algorithm have been ported on to the GPU resources. The platform proved to be very scalable with high throughput and performance when tested on a large number of video streams with increasing number of nodes.","cloud computing;computer centres;object recognition;video signal processing;video streaming;GPU resources;LBP algorithm;cameras;cloud based high performance video analytics;cloud data centres;cloud nodes;cloud resources;data transfer;high performance video processing;information extraction;local binary pattern;mobile phones;object recognition algorithms;occupancy level;video data;video stream processing;Cloud computing;Decoding;Graphics processing units;Object detection;Object recognition;Streaming media;Throughput;Cloud Computing;High Performance and GPUs;Video Processing;Video analytics",6,"","","",,"March","152-161","","","2016 IEEE Symposium on Service-Oriented System Engineering (SOSE)","","","",""
"4340471",IEEE,"10.1109/WICOM.2007.696",InProceedings,"Yao, M. & Zhu, X.","Study and Transplant of Operating System for Wireless Sensor Network Node",2007,"This paper studies the embedded operating system TinyOS, including its event-driven mechanism, schedule strategy mechanics, power management mechanism, and etc. Then, the component-based architecture of TinyOS is analyzed. Based on these, the transplant scheme, the design principle of the layer of hardware description and the selection principle of processor are provided. Finally, this paper gives some conclusions and foresight.","embedded systems;network operating systems;power aware computing;scheduling;wireless sensor networks;TinyOS embedded operating system transplant scheme;component-based architecture;event-driven mechanism;hardware description layer design principle;power management mechanism;processor selection principle;schedule strategy mechanics;wireless sensor network node;Application software;Batteries;Communication system control;Data processing;Energy management;Hardware;Operating systems;Power supplies;Power system management;Wireless sensor networks",6,"","","",,"Sept","2803-2807","","","2007 International Conference on Wireless Communications, Networking and Mobile Computing","","","",""
"4797078",IEEE,"10.1109/CMC.2009.111",InProceedings,"XiangMin, Y.; WenYong, W. & Yu, X.","An IPv6 Wireless Sensor Network Node-TaraxNode",2009,"This paper presents the IPv6 wireless sensor network platform system TaraxNode. It is designed and implemented with independent intellectual property rights. For effectively monitoring, we developed TaraxOS, which includes a cluster-based self-organized multi-hop routing protocol. It is a multi-task, high-powered, low energy-consumed operating system for sensor nodes. TaraxNode containing heterogeneous elements provides numerous benefits at the traditional intelligent monitor system. It is mainly composed of a low power consumed MCU TaraxCore and WSN data acquired unit etc. When applied at the central air-condition intelligent monitor and control system, it gives excellent result.","computerised monitoring;industrial property;intelligent sensors;operating systems (computers);routing protocols;wireless sensor networks;IPv6;TaraxNode;TaraxOS;central air-condition intelligent monitor;cluster-based self-organized multihop routing protocol;control system;intellectual property rights;intelligent monitor system;operating system;sensor nodes;wireless sensor network node;Centralized control;Intellectual property;Intelligent control;Intelligent sensors;Intelligent systems;Monitoring;Operating systems;Routing protocols;Sensor systems;Wireless sensor networks",6,"","","2",,"Jan","9-14","","","2009 WRI International Conference on Communications and Mobile Computing","","","",""
